Symbol,Date,Open Price,Highest intraday,Lowest intraday,Closing Price,Volume
A,8-Jul-22,120.96,123.21,120.96,122.51,1267400
AA,8-Jul-22,45.63,45.79,44.4,44.83,5312400
AAA,8-Jul-22,24.275,24.275,24.275,24.275,100
AAAU,8-Jul-22,17.29,17.4,17.245,17.29,1664700
AAC,8-Jul-22,9.83,9.84,9.83,9.83,54500
AAC.U,8-Jul-22,9.87,9.89,9.87,9.89,1000
AAC.W,8-Jul-22,0.25,0.2571,0.23,0.25,67900
AACG,8-Jul-22,1.2,1.29,1.16,1.27,33800
AACIW,8-Jul-22,0.19,0.19,0.1899,0.1899,500
AADI,8-Jul-22,13.61,13.95,13.3,13.79,76900
AADR,8-Jul-22,47.775,48.0759,47.775,48.0759,4000
AAIC,8-Jul-22,3.16,3.23,3.13,3.2,49700
AAI-C,8-Jul-22,20.72,20.72,20.72,20.72,100
AAIN,8-Jul-22,24.25,24.25,24.25,24.25,500
AAL,8-Jul-22,13.96,14.27,13.72,13.97,28114000
AAM-A,8-Jul-22,23.86,24.3503,23.86,24.33,13000
AAM-B,8-Jul-22,24.46,24.56,24.29,24.5,8300
AAMC,8-Jul-22,10.54,10.7,10.12,10.5,3800
AAME,8-Jul-22,2.96,3.16,2.89,3.06,3900
AAN,8-Jul-22,15.09,15.3499,15,15.33,179000
AAOI,8-Jul-22,1.64,1.6883,1.6,1.63,98900
AAON,8-Jul-22,55.67,56,54.01,54.72,123000
AAP,8-Jul-22,184.24,185.59,182.31,182.9,395100
AAPL,8-Jul-22,145.26,147.55,145,147.04,64547800
AAQC,8-Jul-22,9.77,9.77,9.77,9.77,1700
AAT,8-Jul-22,29.9,29.99,29.46,29.53,123300
AATC,8-Jul-22,5.29,5.49,5.29,5.3213,10100
AAU,8-Jul-22,0.2297,0.2461,0.2251,0.24,255100
AAWW,8-Jul-22,61.03,61.84,60,61.67,290200
AAXJ,8-Jul-22,68.96,69.49,68.72,69.21,774400
AB,8-Jul-22,42,42,41.13,41.46,113200
ABB,8-Jul-22,26.95,27.16,26.765,26.9,1892000
ABBV,8-Jul-22,152,155.25,151.79,152.85,4078400
ABC,8-Jul-22,141,144.05,140.71,142.55,987900
ABCB,8-Jul-22,41.53,41.53,40.635,41.22,522100
ABCL,8-Jul-22,11.34,11.88,11.07,11.58,1604900
ABCM,8-Jul-22,14.68,14.9,14.63,14.79,71500
ABEO,8-Jul-22,4.44,5.63,4.4,5.49,560400
ABEQ,8-Jul-22,27.03,27.03,26.9142,26.9142,7000
ABEV,8-Jul-22,2.63,2.68,2.62,2.68,29100200
ABG,8-Jul-22,174.8,176.61,171.08,171.24,88400
ABIO,8-Jul-22,2.42,2.52,2.42,2.51,37000
ABM,8-Jul-22,43.14,43.44,42.746,43.13,191000
ABMD,8-Jul-22,264.49,271.25,262.48,267,213100
ABNB,8-Jul-22,96.23,98.12,93.2417,97.35,5669400
ABOS,8-Jul-22,5.91,6.03,5.7201,5.99,43100
ABR,8-Jul-22,13.79,13.95,13.62,13.83,2194600
ABR-D,8-Jul-22,20.86,20.9299,20.5815,20.75,2100
ABR-E,8-Jul-22,20.06,20.08,19.98,19.98,2400
ABR-F,8-Jul-22,20.39,20.58,20.205,20.47,14800
ABSI,8-Jul-22,3.41,3.77,3.41,3.55,303300
ABST,8-Jul-22,9.38,9.66,9.24,9.52,53400
ABT,8-Jul-22,108.73,109.92,108.55,109.26,3115700
ABTX,8-Jul-22,38.9,39.11,38.54,39.04,74200
ABUS,8-Jul-22,2.82,2.86,2.74,2.85,817300
ABVC,8-Jul-22,1.02,1.05,0.97,1.04,89900
AC,8-Jul-22,37.23,37.7,37.03,37.7,3500
ACA,8-Jul-22,45.77,45.8,44.94,45.49,103600
ACA.W,8-Jul-22,0.14,0.14,0.1226,0.1226,1800
ACAB,8-Jul-22,9.98,9.98,9.98,9.98,300
ACAD,8-Jul-22,15.54,15.96,15.37,15.74,1615900
ACAQ,8-Jul-22,10.01,10.01,10.01,10.01,72000
ACAXR,8-Jul-22,0.1,0.1,0.1,0.1,200
ACAXW,8-Jul-22,0.0501,0.0501,0.0501,0.0501,100
ACB,8-Jul-22,1.43,1.48,1.38,1.39,6625600
ACBA,8-Jul-22,10.3,10.3,10.3,10.3,50000
ACC,8-Jul-22,64.95,64.97,64.87,64.91,636900
ACCD,8-Jul-22,10.95,11.09,10.2787,10.8,1352100
ACCO,8-Jul-22,6.54,6.625,6.47,6.55,467400
ACD.U,8-Jul-22,10.07,10.07,10.07,10.07,2000
ACEL,8-Jul-22,10.96,11.1,10.83,10.95,175500
ACER,8-Jul-22,1.5,1.72,1.5,1.52,301100
ACES,8-Jul-22,51.29,52.962,51,52.4,177200
ACET,8-Jul-22,17.66,18.64,17.46,18.6,559200
ACEV,8-Jul-22,10.16,10.16,10.07,10.1,9700
ACEVW,8-Jul-22,0.099,0.1305,0.099,0.1305,288800
ACGL,8-Jul-22,44.79,44.96,44.42,44.47,1030400
ACGLN,8-Jul-22,19.43,19.43,19.13,19.29,36100
ACGLO,8-Jul-22,22.77,22.85,22.77,22.85,8100
ACH,8-Jul-22,9.47,9.6,9.35,9.48,78900
ACH.W,8-Jul-22,0.55,0.6,0.5302,0.5318,15800
